TaxonId,SwedishName,ScientificName,TLS_CITES,TLS_Bern,TLS_Bonn,TLS_FD1,TLS_Prio,TLS_Fridlyst,TLS_HD2,TLS_HD2P,TLS_HD4,TLS_HD5,TLS_IAS_Union_EU
18,,Ajuga reptans,,,,,,,,,,,
648,,Filago vulgaris,,,,,,Ja,,,,,
690,,Genista anglica,,,,,,Ja,,,,,
692,,Genista pilosa,,,,,,,,,,,
782,,Hookeria lucens,,,,,,Ja,,,,,
1095,,Normandina pulchella,,,,,,,,,,,
1116,,Alyxoria ochrocheila,,,,,,,,,,,
1174,,Pedicularis sylvatica,,,,,,,,,,,
1667,,Viscum album,,,,,,Ja,,,,,
1752,,Taraxacum duplidentifrons,,,,,,,,,,,
1885,,Gentiana pneumonanthe,,,,,,Ja,,,,,
1895,,Lycopodiella inundata,,,,,,Ja,,,,Ja,
1971,,Camarops polysperma,,,,,,,,,,,
2378,,Plagiomnium affine,,,,,,,,,,,
2608,,Frullania dilatata,,,,,,,,,,,
2660,,Fontinalis antipyretica,,,,,,,,,,,
2677,,Thuidium tamariscinum,,,,,,,,,,,
2769,,Sciuro-hypnum plumosum,,,,,,,,,,,
2779,,Homalothecium sericeum,,,,,,,,,,,
2809,,Hylocomiastrum umbratum,,,,,,,,,,,
2810,,Rhytidiadelphus loreus,,,,,,,,,,,
2846,,Polytrichum commune,,,,,,,,,,,
2850,,Polytrichum piliferum,,,,,,,,,,,
2971,,Amanita crocea,,,,,,,,,,,
3150,,Botryobasidium subcoronatum,,,,,,,,,,,
3185,,Calocera viscosa,,,,,,,,,,,
3812,,Crucibulum laeve,,,,,,,,,,,
4138,,Fomes fomentarius,,,,,,,,,,,
4139,,Fomitopsis pinicola,,,,,,,,,,,
4182,,Ganoderma applanatum,,,,,,,,,,,
4370,,Hydnum repandum s. lat.,,,,,,,,,,,
4493,,Hypholoma fasciculare,,,,,,,,,,,
4494,,Hypholoma lateritium,,,,,,,,,,,
4660,,Inocutis rheades,,,,,,,,,,,
4665,,Ischnoderma benzoinum,,,,,,,,,,,
4672,,Laccaria amethystina,,,,,,,,,,,
4783,,Lactifluus vellereus,,,,,,,,,,,
4789,,Laetiporus sulphureus,,,,,,,,,,,
4843,,Trametes betulina,,,,,,,,,,,
4927,,Lycogala epidendrum s.lat.,,,,,,,,,,,
5267,,Postia stiptica,,,,,,,,,,,
5591,,Lentinus brumalis,,,,,,,,,,,
5898,,Russula nigricans,,,,,,,,,,,
5993,,Scytinostroma portentosum,,,,,,,,,,,
6057,,Stereum hirsutum,,,,,,,,,,,
6059,,Stereum rugosum,,,,,,,,,,,
6087,,Suillus grevillei,,,,,,,,,,,Ja
6428,,Arthonia vinosa,,,,,,,,,,,
6436,,Calicium adspersum,,,,,,,,,,,
6458,,Lobaria pulmonaria,,,,,,,,,,,
100004,,Alcedo atthis,,Ja,,Ja,,Ja,,,,,
100019,,Branta leucopsis,,Ja,Ja,Ja,,Ja,,,,,
100025,,Acanthis flammea cabaret,,,,,,,,,,,
100031,,Ciconia ciconia,,Ja,Ja,Ja,,Ja,,,,,
100033,,Circus aeruginosus,Ja,Ja,Ja,Ja,,Ja,,,,,
100034,,Circus cyaneus,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100037,,Coccothraustes coccothraustes,,Ja,,,,Ja,,,,,
100045,,Cygnus cygnus,,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100048,,Dryobates minor,,Ja,,,Ja,Ja,,Ja,,,
100049,,Dryocopus martius,,Ja,,Ja,Ja,Ja,,Ja,,,
100053,,Erinaceus europaeus,,Ja,,,,,,,,,
100065,,Grus grus,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100067,,Haliaeetus albicilla,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100070,,Lacerta agilis,,Ja,,,,Ja,,,Ja,,
100082,,Milvus milvus,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100088,,Natrix natrix,,Ja,,,,Ja,,,,,
100090,,Nucifraga caryocatactes,,Ja,,,Ja,Ja,,Ja,,,
100092,,Nyctalus noctula,,Ja,Ja,,,Ja,,,Ja,,
100096,,Pandion haliaetus,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,,
100102,,Phalacrocorax carbo,,Ja,,,,Ja,,,,,
101132,,Ibisia marginata,,,,,,,,,,,
101574,,Piezodorus lituratus,,,,,,,,,,,
101735,,Scardia boletella,,,,,,,,,,,
101969,,Vespa crabro,,,,,,,,,,,
102118,,Caprimulgus europaeus,,Ja,,Ja,Ja,Ja,,Ja,,,
102119,,Jynx torquilla,,Ja,,,Ja,Ja,,Ja,,,
102207,,Cetonia aurata,,,,,,,,,,,
102366,,Adscita statices,,,,,,,,,,,
102606,,Sciurus vulgaris,,Ja,,,,,,,,,
102623,,Lullula arborea,,Ja,,Ja,Ja,Ja,,Ja,,,
102921,,Gomphus vulgatissimus,,,,,,,,,,,
102928,,Anser anser,,Ja,Ja,,,Ja,Ja,,,,
102929,,Branta canadensis,,,,,,,Ja,,,,Ja
102933,,Anas platyrhynchos,,Ja,Ja,,,Ja,Ja,,,,
102937,,Bucephala clangula,,Ja,Ja,,,Ja,Ja,,,,
102940,,Mergus merganser,,Ja,Ja,,,Ja,Ja,,,,
102941,,Accipiter nisus,Ja,Ja,Ja,,,Ja,,,,,
102942,,Buteo buteo,Ja,Ja,Ja,,,Ja,,,,,
102943,,Falco subbuteo,Ja,Ja,Ja,,,Ja,,,,,
102946,,Phasianus colchicus,,,,,,,Ja,,,,Ja
102955,,Scolopax rusticola,,Ja,Ja,,,Ja,Ja,,,,
102960,,Tringa ochropus,,Ja,Ja,,,Ja,,,,,
102961,,Actitis hypoleucos,,Ja,Ja,,Ja,Ja,,Ja,,,
102964,,Larus canus,,Ja,,,,Ja,Ja,,,,
102971,,Columba palumbus,,,,,,Ja,Ja,,,,
102974,,Strix aluco,Ja,Ja,,,,Ja,,,,,
102975,,Asio otus,Ja,Ja,,,,Ja,,,,,
102976,,Apus apus,,Ja,,,Ja,Ja,,Ja,,,
102977,,Picus viridis,,Ja,,,Ja,Ja,,Ja,,,
102978,,Dendrocopos major,,Ja,,,,Ja,,,,,
102980,,Hirundo rustica,,Ja,,,,Ja,,,,,
102982,,Anthus trivialis,,Ja,,,,Ja,,,,,
102986,,Motacilla cinerea,,Ja,,,,Ja,,,,,
102987,,Motacilla alba,,Ja,,,,Ja,,,,,
102988,,Cinclus cinclus,,Ja,,,,Ja,,,,,
102989,,Troglodytes troglodytes,,Ja,,,,Ja,,,,,
102990,,Prunella modularis,,Ja,,,,Ja,,,,,
102991,,Erithacus rubecula,,Ja,Ja,,,Ja,,,,,
102994,,Phoenicurus phoenicurus,,Ja,Ja,,,Ja,,,,,
102997,,Turdus torquatus,,Ja,Ja,,,Ja,,,,,
102998,,Turdus merula,,Ja,Ja,,,Ja,Ja,,,,
102999,,Turdus pilaris,,Ja,Ja,,,Ja,Ja,,,,
103000,,Turdus philomelos,,Ja,Ja,,,Ja,Ja,,,,
103001,,Turdus iliacus,,Ja,Ja,,,Ja,Ja,,,,
